epoca,data,resultado,competicao,fase,time,mando,adversario,placar,minutos,gols_no_jogo,jogo,gols_acumulados
2018/19,2019-02-12,V,UCL,1/8,PSG,(F),Manchester United,0-2,90,1,168,88
2018/19,2019-02-17,V,D1,R25,PSG,(F),Saint-Étienne,0-1,90,1,169,89
2018/19,2019-02-20,V,D1,R17,PSG,(C),Montpellier,5-1,90,1,170,90
2018/19,2019-02-23,V,D1,R26,PSG,(C),Nimes,3-0,90,2,171,92
2018/19,2019-03-02,V,D1,R27,PSG,(F),Caen,1-2,90,2,172,94
2018/19,2019-03-06,D,UCL,1/8,PSG,(C),Manchester United,1-3,90,0,173,94
2018/19,2019-03-12,V,D1,R18,PSG,(F),Dijon,0-4,90,1,174,95
2018/19,2019-03-17,V,D1,R29,PSG,(C),Marseille,3-1,90,1,175,96
2018/19,2019-03-22,V,EE,H,França,(F),Moldávia,1-4,90,1,176,97
2018/19,2019-03-25,V,EE,H,França,(C),Islândia,4-0,90,1,177,98
2018/19,2019-03-31,V,D1,R30,PSG,(F),Toulouse,0-1,90,1,178,99
2018/19,2019-04-03,V,CF,SF,PSG,(C),Nantes,3-0,90,1,179,100
2018/19,2019-04-07,E,D1,R31,PSG,(C),Strasbourg,2-2,30,0,180,100
2018/19,2019-04-14,D,D1,R32,PSG,(F),Lille,5-1,90,0,181,100
2018/19,2019-04-21,V,D1,R33,PSG,(C),Monaco,3-1,90,3,182,103
2018/19,2019-04-27,E,CF,F,PSG,(N),Rennes,2-2 (6-5)g.p.,118,0,183,103
2018/19,2019-05-18,V,D1,R37,PSG,(C),Dijon,4-0,90,2,184,105
2018/19,2019-05-24,D,D1,R38,PSG,(F),Stade de Reims,3-1,90,1,185,106
2018/19,2019-06-02,V,AMI,JA,França,(C),Bolívia,2-0,45,0,186,106
2018/19,2019-06-08,D,EE,H,França,(F),Turquia,2-0,90,0,187,106
2018/19,2019-06-11,V,EE,H,França,(F),Andorra,0-4,90,1,188,107
2019/20,2019-08-03,V,TC,F,PSG,(N),Rennes,2-1,90,1,189,108
2019/20,2019-08-11,V,D1,R1,PSG,(C),Nimes,3-0,90,1,190,109
2019/20,2019-08-18,D,D1,R2,PSG,(F),Rennes,2-1,90,0,191,109
2019/20,2019-08-25,V,D1,R3,PSG,(C),Toulouse,4-0,66,0,192,109
2019/20,2019-09-28,V,D1,R8,PSG,(F),Bordeaux,0-1,30,0,193,109
2019/20,2019-10-01,V,UCL,A,PSG,(F),Galatasaray,0-1,29,0,194,109
2019/20,2019-10-18,V,D1,R10,PSG,(F),Nice,1-4,7,1,195,110
2019/20,2019-10-22,V,UCL,A,PSG,(F),Club Brugge,0-5,38,3,196,113
2019/20,2019-10-27,V,D1,R11,PSG,(C),Marseille,4-0,71,2,197,115
2019/20,2019-11-01,D,D1,R12,PSG,(F),Dijon,2-1,90,1,198,116
2019/20,2019-11-06,V,UCL,A,PSG,(C),Club Brugge,1-0,83,0,199,116
2018/19,2019-11-14,V,EE,H,França,(C),Moldávia,2-1,90,0,200,116
2019/20,2019-11-22,V,D1,R14,PSG,(C),Lille,2-0,25,0,201,116
2019/20,2019-11-26,E,UCL,A,PSG,(F),Real Madrid,2-2,90,1,202,117
2019/20,2019-12-04,V,D1,R16,PSG,(C),Nantes,2-0,78,1,203,118
2019/20,2019-12-07,V,D1,R17,PSG,(F),Montpellier,1-3,90,1,204,119
2019/20,2019-12-11,V,UCL,A,PSG,(C),Galatasaray,5-0,90,1,205,120
2019/20,2019-12-15,V,D1,R18,PSG,(F),Saint-Étienne,0-4,90,2,206,122
2019/20,2019-12-18,V,CL,1/8,PSG,(F),Le Mans,1-4,68,1,207,123
2019/20,2019-12-21,V,D1,R19,PSG,(C),Amiens SC,4-1,90,2,208,125
2019/20,2020-01-08,V,CL,QF,PSG,(C),Saint-Étienne,6-1,90,1,209,126
2019/20,2020-01-12,E,D1,R20,PSG,(C),Monaco,3-3,90,0,210,126
2019/20,2020-01-15,V,D1,R15,PSG,(F),Monaco,1-4,90,2,211,128
2019/20,2020-01-22,V,CL,SF,PSG,(F),Stade de Reims,0-3,90,0,212,128
2019/20,2020-01-26,V,D1,R21,PSG,(F),Lille,0-2,90,0,213,128
2019/20,2020-02-01,V,D1,R22,PSG,(C),Montpellier,5-0,68,1,214,129
2019/20,2020-02-04,V,D1,R23,PSG,(F),Nantes,1-2,90,0,215,129
2019/20,2020-02-09,V,D1,R24,PSG,(C),Lyon,4-2,90,1,216,130
2019/20,2020-02-12,V,CF,QF,PSG,(F),Dijon,1-6,90,1,217,131
2019/20,2020-02-18,D,UCL,1/8,PSG,(F),Borussia Dortmund,2-1,90,0,218,131
2019/20,2020-02-23,V,D1,R26,PSG,(C),Bordeaux,4-3,90,1,219,132
2019/20,2020-02-29,V,D1,R27,PSG,(C),Dijon,4-0,90,2,220,134
2019/20,2020-03-04,V,CF,SF,PSG,(F),Lyon,1-5,90,3,221,137
2019/20,2020-03-10,V,UCL,1/8,PSG,(C),Borussia Dortmund,2-0,26,0,222,137
2019/20,2020-07-24,V,CF,F,PSG,(N),Saint-Étienne,1-0,33,0,223,137
2019/20,2020-08-12,V,UCL,QF,PSG,(N),Atalanta,1-2,30,0,224,137
2019/20,2020-08-18,V,UCL,SF,PSG,(N),RB Leipzig,0-3,86,0,225,137
2019/20,2020-08-23,D,UCL,F,PSG,(N),Bayern München,0-1,90,0,226,137
2020/21,2020-09-05,V,UNL,3,França,(F),Suécia,0-1,77,1,227,138
2020/21,2020-09-20,V,D1,R4,PSG,(F),Nice,0-3,79,1,228,139
2020/21,2020-09-27,V,D1,R5,PSG,(F),Stade de Reims,0-2,90,0,229,139
2020/21,2020-10-02,V,D1,R6,PSG,(C),Angers,6-1,90,1,230,140
2019/20,2020-10-07,V,AMI,JA,França,(C),Ucrânia,7-1,45,1,231,141
2020/21,2020-10-11,E,UNL,3,França,(C),Portugal,0-0,84,0,232,141
2020/21,2020-10-14,V,UNL,3,França,(F),Croácia,1-2,90,1,233,142
2020/21,2020-10-16,V,D1,R7,PSG,(F),Nimes,0-4,84,2,234,144
2020/21,2020-10-20,D,UCL,H,PSG,(C),Manchester United,1-2,90,0,235,144
2020/21,2020-10-24,V,D1,R8,PSG,(C),Dijon,4-0,18,2,236,146
2020/21,2020-10-28,V,UCL,H,PSG,(F),Basaksehir,0-2,90,0,237,146
2020/21,2020-10-31,V,D1,R9,PSG,(F),Nantes,0-3,74,1,238,147
2020/21,2020-11-17,V,UNL,3,França,(C),Suécia,4-2,32,0,239,147
2020/21,2020-11-20,D,D1,R11,PSG,(F),Monaco,3-2,69,2,240,149
2020/21,2020-11-24,V,UCL,H,PSG,(C),RB Leipzig,1-0,90,0,241,149
2020/21,2020-11-28,E,D1,R12,PSG,(C),Bordeaux,2-2,90,0,242,149
2020/21,2020-12-02,V,UCL,H,PSG,(F),Manchester United,1-3,90,0,243,149
2020/21,2020-12-05,V,D1,R13,PSG,(F),Montpellier,1-3,12,1,244,150
2020/21,2020-12-09,V,UCL,H,PSG,(C),Basaksehir,5-1,90,2,245,152
2020/21,2020-12-13,D,D1,R14,PSG,(C),Lyon,0-1,25,0,246,152
2020/21,2020-12-16,V,D1,R15,PSG,(C),FC Lorient,2-0,90,1,247,153
2020/21,2020-12-20,E,D1,R16,PSG,(F),Lille,0-0,13,0,248,153
2020/21,2020-12-23,V,D1,R17,PSG,(C),Strasbourg,4-0,84,1,249,154
2020/21,2021-01-06,E,D1,R18,PSG,(F),Saint-Étienne,1-1,90,0,250,154
2020/21,2021-01-09,V,D1,R19,PSG,(C),Brest,3-0,90,0,251,154
2020/21,2021-01-13,V,TC,F,PSG,(N),Marseille,2-1,90,0,252,154
2020/21,2021-01-16,V,D1,R20,PSG,(F),Angers,0-1,80,0,253,154
2020/21,2021-01-22,V,D1,R21,PSG,(C),Montpellier,4-0,90,2,254,156
2020/21,2021-01-31,D,D1,R22,PSG,(F),FC Lorient,3-2,90,0,255,156
2020/21,2021-02-03,V,D1,R23,PSG,(C),Nimes,3-0,88,1,256,157
2020/21,2021-02-07,V,D1,R24,PSG,(F),Marseille,0-2,90,1,257,158
2020/21,2021-02-10,V,CF,1/32,PSG,(F),Caen,0-1,30,0,258,158
2020/21,2021-02-13,V,D1,R25,PSG,(C),Nice,2-1,90,0,259,158
2020/21,2021-02-16,V,UCL,1/8,PSG,(F),Barcelona,1-4,90,3,260,161
2020/21,2021-02-21,D,D1,R26,PSG,(C),Monaco,0-2,90,0,261,161
2020/21,2021-02-27,V,D1,R27,PSG,(F),Dijon,0-4,90,2,262,163
2020/21,2021-03-06,V,CF,1/16,PSG,(F),Brest,0-3,90,2,263,165
2020/21,2021-03-10,E,UCL,1/8,PSG,(C),Barcelona,1-1,90,1,264,166
2020/21,2021-03-14,D,D1,R29,PSG,(C),Nantes,1-2,90,0,265,166
2020/21,2021-03-17,V,CF,1/8,PSG,(C),Lille,3-0,52,2,266,168
2020/21,2021-03-21,V,D1,R30,PSG,(F),Lyon,2-4,70,2,267,170
2020/21,2021-03-24,E,ECM,D,França,(C),Ucrânia,1-1,77,0,268,170
2020/21,2021-03-28,V,ECM,D,França,(F),Cazaquistão,0-2,31,0,269,170
2020/21,2021-03-31,V,ECM,D,França,(F),Bósnia-Herzgovina,0-1,90,0,270,170
2020/21,2021-04-03,D,D1,R31,PSG,(C),Lille,0-1,90,0,271,170
2020/21,2021-04-07,V,UCL,QF,PSG,(F),Bayern München,2-3,90,2,272,172
2020/21,2021-04-10,V,D1,R32,PSG,(F),Strasbourg,1-4,89,1,273,173
2020/21,2021-04-13,D,UCL,QF,PSG,(C),Bayern München,0-1,90,0,274,173
2020/21,2021-04-18,V,D1,R33,PSG,(C),Saint-Étienne,3-2,90,2,275,175
2020/21,2021-04-24,V,D1,R34,PSG,(F),Metz,1-3,87,2,276,177
2020/21,2021-04-28,D,UCL,SF,PSG,(C),Manchester City,1-2,90,0,277,177
2020/21,2021-05-12,E,CF,SF,PSG,(F),Montpellier,2-2 (5-6)g.p.,82,2,278,179
2020/21,2021-05-16,V,D1,R37,PSG,(C),Stade de Reims,4-0,77,1,279,180
2020/21,2021-05-19,V,CF,F,PSG,(N),Monaco,0-2,90,1,280,181
2020/21,2021-05-23,V,D1,R38,PSG,(F),Brest,0-2,90,1,281,182
2020/21,2021-06-02,V,AMI,JA,França,(C),País de Gales,3-0,73,1,282,183
2020/21,2021-06-08,V,AMI,JA,França,(C),Bulgária,3-0,84,0,283,183
2020/21,2021-06-15,V,EU,F,França,(N),Alemanha,1-0,90,0,284,183
2020/21,2021-06-19,E,EU,F,França,(N),Hungria,1-1,90,0,285,183
2020/21,2021-06-23,E,EU,F,França,(N),Portugal,2-2,90,0,286,183
2020/21,2021-06-28,E,EU,1/8,França,(N),Suíça,3-3 (4-5)g.p.,120,0,287,183
2021/22,2021-08-07,V,D1,R1,PSG,(F),Troyes,1-2,90,0,288,183
2021/22,2021-08-14,V,D1,R2,PSG,(C),Strasbourg,4-2,90,0,289,183
2021/22,2021-08-20,V,D1,R3,PSG,(F),Brest,2-4,80,1,290,184
2021/22,2021-08-29,V,D1,R4,PSG,(F),Stade de Reims,0-2,90,2,291,186
2020/21,2021-09-01,E,ECM,D,França,(C),Bósnia-Herzgovina,1-1,90,0,292,186
2021/22,2021-09-11,V,D1,R5,PSG,(C),Clermont,4-0,79,1,293,187
2021/22,2021-09-15,E,UCL,A,PSG,(F),Club Brugge,1-1,51,0,294,187
2021/22,2021-09-19,V,D1,R6,PSG,(C),Lyon,2-1,90,0,295,187
2021/22,2021-09-22,V,D1,R7,PSG,(F),Metz,1-2,90,0,296,187
2021/22,2021-09-25,V,D1,R8,PSG,(C),Montpellier,2-0,88,0,297,187
2021/22,2021-09-28,V,UCL,A,PSG,(C),Manchester City,2-0,90,0,298,187
2021/22,2021-10-03,D,D1,R9,PSG,(F),Rennes,2-0,90,0,299,187
2021/22,2021-10-07,V,UNL,SF,França,(N),Bélgica,2-3,90,1,300,188
2021/22,2021-10-10,V,UNL,F,França,(N),Espanha,1-2,90,1,301,189
2021/22,2021-10-15,V,D1,R10,PSG,(C),Angers,2-1,90,1,302,190
2021/22,2021-10-19,V,UCL,A,PSG,(C),RB Leipzig,3-2,90,1,303,191
2021/22,2021-10-24,E,D1,R11,PSG,(F),Marseille,0-0,90,0,304,191
